id|hascreator_person|islocatedin_country|replyof_post|replyof_comment
962072674467|28587302322204|101|687194767522|
1099511627940|28587302322180|48|687194767522|
1030792151560|24189255811081|4|962072674823|
1030792151561|24189255811081|4|962072674823|
1168231105034|32985348833329|0|962072674823|
962072674827|17592186044443|92|962072674823|
962072674828|26388279066668|56|962072674823|
1168231105037|35184372088856|1|962072674823|
962072674830|26388279066641|86||962072674828
1030792151567|10995116277782|52||962072674828
1030792151568|28587302322204|101||1030792151567
1168231105041|32985348833329|0||1030792151567
1030792151570|28587302322204|101||1030792151567
1030792151571|28587302322223|85|962072674823|
962072674836|26388279066668|56|962072674823|
1030792151573|28587302322223|100||1030792151567
962072674838|26388279066641|86|962072674823|
1030792151575|26388279066668|56||1030792151567
1030792151577|30786325577731|56|1030792151576|
1030792151578|13194139533352|49|1030792151576|
1030792151579|30786325577731|56|1030792151576|
1030792151580|24189255811081|4||1030792151578
1099511628317|26388279066655|50||1030792151579
1030792151582|26388279066641|86||1030792151578
1030792151583|26388279066641|86||1030792151579
1030792151584|24189255811081|4||1030792151582
1030792151585|30786325577731|56||1030792151582
1168231105058|32985348833329|20||1030792151583
1030792151587|13194139533352|49||1030792151583
1030792151588|13194139533352|49||1030792151579
1168231105061|32985348833329|0||1030792151582
1030792151590|28587302322204|101||1030792151588
1099511628327|2199023255594|60||1030792151583
1099511628328|16|92|1030792151576|
1099511629079|26388279066658|61|1099511629078|
1099511629080|26388279066655|50||1099511629079
1099511629081|26388279066655|50|1099511629078|
1099511629082|13194139533352|49|1099511629078|
1099511629083|26388279066658|61||1099511629081
1099511629084|17592186044443|92||1099511629081
962072675614|13194139533352|49|962072675613|
962072675615|17592186044443|92|962072675613|
962072675616|17592186044443|92|962072675613|
962072675617|2199023255594|51||962072675616
1099511629090|26388279066655|50||962072675617
962072675619|2199023255594|60|962072675613|
1030792152357|26388279066658|61|687194768676|
755914245414|13194139533352|49|687194768676|
1030792152359|26388279066658|61||1030792152357
824633722152|17592186044443|92|687194768676|
1099511629097|26388279066655|50||1030792152357
1030792152362|2199023255594|60||1030792152357
824633722155|17592186044443|92|687194768676|
1099511629100|13194139533352|49||1099511629097
824633722157|17592186044443|92|687194768676|
1030792152366|13194139533352|49||1030792152357
1030792152367|26388279066658|61||824633722155
1030792152368|26388279066658|61||824633722155
1168231105842|35184372088856|1|687194768689|
1099511629107|24189255811109|1|687194768689|
1168231105844|35184372088856|1|687194768689|
1099511629109|24189255811109|1|687194768689|
687194768694|2199023255557|65|687194768689|
687194768695|2199023255557|65||687194768694
687194768696|2199023255557|65|687194768689|
687194768697|2199023255557|99||687194768694
1099511629114|24189255811109|1||687194768696
1168231105851|35184372088856|1|687194768689|
1099511629116|24189255811081|4|687194768689|
687194768701|2199023255557|65|687194768689|
1168231105854|35184372088856|1||1099511629114
1168231105855|35184372088856|1||687194768701
1099511629120|24189255811109|1|687194768689|
1168231105857|35184372088856|1||687194768701
687194768706|2199023255557|65||687194768701
1099511629124|24189255811081|4|343597385027|
1099511629125|24189255811109|1|343597385027|
1168231105862|35184372088856|22||1099511629124
1099511629127|24189255811081|4||1099511629124
1168231105864|35184372088856|1||1099511629124
1168231105865|35184372088856|1|343597385027|
1168231105866|35184372088856|1||1168231105865
1168231105867|35184372088856|1||1168231105865
1168231105868|24189255811109|1||1168231105865
1099511629133|24189255811109|1|343597385027|
618475291982|2199023255557|65|343597385027|
1168231105871|2199023255557|65||1168231105865
1099511629136|24189255811081|4||1099511629124
618475291985|2199023255557|65|343597385027|
1168231105874|35184372088856|1||1099511629133
1099511629139|24189255811081|4||1099511629124
1099511629140|2199023255557|65||1099511629133
618475291990|8796093022237|1|412316861781|
824633722199|24189255811081|4|412316861781|
824633722201|13194139533355|0|412316861784|
824633722202|13194139533355|0|412316861784|
687194768732|2199023255594|60|687194768731|
687194768733|2199023255594|60||687194768732
824633722206|13194139533355|0|687194768731|
687194768735|2199023255594|60|687194768731|
687194768736|2199023255594|60|687194768731|
687194768737|2199023255594|60||687194768732
687194768738|2199023255594|60||687194768732
687194768739|2199023255594|60|687194768731|
1168231105893|10995116277782|52|893353198948|
1168231105894|2199023255594|60|893353198948|
1168231105895|10995116277782|52||1168231105893
1168231105896|13194139533352|82||1168231105893
1168231105897|10995116277782|52||1168231105893
1168231105898|28587302322204|101||1168231105893
1168231105899|10995116277782|52|893353198948|
962072675692|13194139533352|49|893353198948|
1168231105901|13194139533352|49||1168231105893
962072675694|13194139533352|49|893353198948|
1168231105903|2199023255594|60|893353198948|
1168231105904|13194139533352|49||1168231105893
1168231105905|28587302322204|101|893353198948|
1168231105906|28587302322204|101|893353198948|
962072675700|26388279066668|56|962072675699|
962072675701|26388279066668|56|962072675699|
962072675702|2199023255557|65|962072675699|
962072675703|2199023255573|54|962072675699|
962072675704|2199023255557|65||962072675702
962072675705|26388279066668|56||962072675700
962072675706|26388279066658|61|962072675699|
1030792152443|28587302322180|48||962072675703
962072675708|2199023255557|65||962072675700
962072675709|13194139533355|0||962072675703
1099511629182|13194139533342|101||962072675702
1030792152447|2199023255573|54||1030792152443
1099511629184|19791209299968|0||962072675700
962072675713|13194139533355|0||962072675700
962072675714|24189255811109|1|962072675699|
1030792152452|28587302322196|25|962072675715|
962072675717|26388279066668|56|962072675715|
1099511629190|13194139533342|101|962072675715|
1099511629191|8796093022237|1|962072675715|
1030792152456|28587302322196|25|962072675715|
1099511629193|35184372088834|51||1099511629191
1099511629194|26388279066668|56||1099511629191
1099511629195|14|80||1099511629191
1099511629196|26388279066658|61||1099511629191
1099511629197|2199023255594|60||1099511629191
962072675726|24189255811109|1|962072675715|
1030792152463|28587302322196|25|962072675715|
962072675728|2199023255594|60|962072675715|
962072675729|2199023255573|54||962072675728
962072675730|26388279066668|56||962072675728
962072675732|13194139533355|0|962072675731|
1099511629205|8796093022237|1|962072675731|
1099511629206|26388279066658|61||1099511629205
1099511629207|13194139533355|0||1099511629205
1099511629208|8796093022237|1||1099511629205
962072675737|21990232555527|1|962072675731|
1099511629210|8796093022237|1||1099511629205
1099511629211|13194139533342|101|962072675731|
1099511629212|26388279066658|61||1099511629211
1099511629213|19791209299968|0||962072675737
962072675742|26388279066668|56|962072675731|
1099511629215|13194139533342|101||962072675737
962072675744|26388279066658|61||962072675737
1099511629217|13194139533342|101|962072675731|
1099511629218|26388279066658|61||1099511629211
1099511629220|8796093022237|1|962072675747|
1099511629221|19791209299968|0|962072675747|
1099511629222|13194139533342|101|962072675747|
1099511629223|35184372088834|51||1099511629221
1099511629224|2199023255594|60||1099511629220
1030792152489|28587302322196|25|962072675747|
1030792152490|2199023255573|54||1030792152489
1030792152491|13194139533355|0||1030792152489
1099511629228|26388279066658|61||1099511629220
1099511629229|26388279066668|56||1099511629220
962072675758|14|80|962072675747|
1030792152495|26388279066668|56||1030792152489
1099511629232|13194139533355|0||1099511629220
1030792152497|28587302322196|25|962072675747|
1099511629234|13194139533355|0||1099511629220
962072675894|26388279066641|86|687194768949|
1030792152631|28587302322180|48|687194768949|
962072675896|28587302322204|101|687194768949|
1030792152633|32|53|687194768949|
1030792152634|28587302322196|25||1030792152633
1099511629371|26388279066658|61||1030792152634
1030792152636|26388279066641|86||1030792152631
1030792152637|28587302322196|25||1030792152631
1168231106111|35184372088850|97|549755815486|
1168231106112|26388279066658|61||1168231106111
962072675905|28587302322204|101|549755815486|
1168231106114|26388279066658|61||1168231106111
1168231106115|19791209299987|110||1168231106114
1168231106116|32|53||1168231106111
1168231106117|26388279066641|86||1168231106114
1168231106118|32|53||1168231106116
1030792152648|28587302322180|48|549755815495|
1099511629385|19791209299987|110|549755815495|
824633722442|2199023255594|60|549755815495|
1030792152651|28587302322180|48|549755815495|
1030792152652|2199023255594|60||1030792152651
1030792152653|32|53|549755815495|
1030792152654|26388279066641|86||1030792152651
1030792152655|10995116277761|78||1030792152651
755914246286|8796093022249|0|755914246285|
755914246287|8796093022249|0|755914246285|
755914246288|8796093022249|0|755914246285|
755914246289|8796093022249|0|755914246285|
