:START_ID(Person)|:END_ID(Place)
19791209299968|285
16|1284
10995116277808|1249
28587302322180|554
30786325577740|1073
32|737
35184372088856|388
8796093022244|255
26388279066668|841
28587302322204|1363
13194139533352|588
26388279066632|958
28587302322196|531
26388279066641|1226
8796093022237|452
24189255811081|510
10995116277761|1147
2199023255573|779
37383395344409|1177
28587302322209|969
8796093022249|185
15393162788877|1410
17592186044461|1264
24189255811109|407
32985348833329|144
2199023255557|1014
2199023255594|966
13194139533342|1369
10995116277782|699
35184372088850|1332
14|1166
21990232555526|411
37383395344394|632
26388279066658|972
6597069766702|750
32985348833318|747
35184372088834|642
8796093022234|125
21990232555527|339
30786325577731|866
32985348833291|350
35184372088871|858
19791209299987|1452
4398046511139|786
17592186044443|1282
13194139533355|148
28587302322191|426
28587302322223|1356
26388279066655|605
10995116277783|877
