:START_ID(Person)|:END_ID(Organisation)
21990232555527|2208
30786325577731|5986
32985348833291|2211
35184372088871|5985
19791209299987|7953
4398046511139|4929
17592186044443|5804
13194139533355|3014
28587302322191|2208
28587302322223|6346
26388279066655|2832
10995116277783|6797
19791209299968|3011
16|5809
10995116277808|5189
28587302322180|7936
30786325577740|2435
32|5047
35184372088856|2208
8796093022244|3008
13194139533352|1856
26388279066632|1580
28587302322196|5036
26388279066641|5142
10995116277761|2945
2199023255573|5263
37383395344409|4673
28587302322209|1596
8796093022249|3010
15393162788877|6612
17592186044461|5236
32985348833329|3008
2199023255557|1953
2199023255594|1597
10995116277782|4742
35184372088850|6172
14|4593
21990232555526|2209
37383395344394|2905
6597069766702|5038
35184372088834|4519
8796093022234|3008
