:START_ID(Person)|:END_ID(Organisation)
21990232555527|919
21990232555527|938
21990232555527|908
30786325577731|1043
30786325577731|999
30786325577731|1033
35184372088871|1056
35184372088871|1136
19791209299987|593
19791209299987|1572
19791209299987|1573
19791209299987|1574
4398046511139|888
4398046511139|889
4398046511139|890
4398046511139|891
4398046511139|894
17592186044443|970
17592186044443|974
13194139533355|544
13194139533355|546
13194139533355|553
13194139533355|540
28587302322223|1227
28587302322223|1228
28587302322223|1229
28587302322223|1230
26388279066655|481
26388279066655|483
26388279066655|457
26388279066655|459
26388279066655|444
19791209299968|548
16|978
16|972
28587302322180|1564
28587302322180|1566
30786325577740|296
30786325577740|298
32|785
32|789
32|807
32|792
32|778
35184372088856|913
35184372088856|933
8796093022244|544
8796093022244|550
8796093022244|554
8796093022244|540
26388279066668|1027
26388279066668|1046
26388279066668|815
28587302322204|1248
26388279066632|1
26388279066632|3
28587302322196|775
28587302322196|776
2199023255594|8
10995116277782|680
10995116277782|666
10995116277782|670
14|603
14|589
14|591
21990232555526|928
21990232555526|938
21990232555526|924
21990232555526|925
21990232555526|909
37383395344394|453
37383395344394|489
26388279066658|22
26388279066658|26
26388279066658|30
6597069766702|787
6597069766702|779
6597069766702|781
6597069766702|799
32985348833318|800
32985348833318|808
32985348833318|780
32985348833318|798
26388279066641|811
10995116277761|496
10995116277761|514
10995116277761|293
10995116277761|507
2199023255573|890
2199023255573|892
37383395344409|657
37383395344409|644
37383395344409|663
37383395344409|637
15393162788877|1331
15393162788877|1333
15393162788877|1337
15393162788877|1340
15393162788877|1341
24189255811109|912
24189255811109|932
24189255811109|919
32985348833329|541
