:START_ID(Comment)|:END_ID(Country)
962072674467|101
1099511627940|48
1030792151560|4
1030792151561|4
1168231105034|0
962072674827|92
962072674828|56
1168231105037|1
962072674830|86
1030792151567|52
1030792151568|101
1168231105041|0
1030792151570|101
1030792151571|85
962072674836|56
1030792151573|100
962072674838|86
1030792151575|56
1030792151577|56
1030792151578|49
1030792151579|56
1030792151580|4
1099511628317|50
1030792151582|86
1030792151583|86
1030792151584|4
1030792151585|56
1168231105058|20
1030792151587|49
1030792151588|49
1168231105061|0
1030792151590|101
1099511628327|60
1099511628328|92
1099511629079|61
1099511629080|50
1099511629081|50
1099511629082|49
1099511629083|61
1099511629084|92
962072675614|49
962072675615|92
962072675616|92
962072675617|51
1099511629090|50
962072675619|60
1030792152357|61
755914245414|49
1030792152359|61
824633722152|92
1099511629097|50
1030792152362|60
824633722155|92
1099511629100|49
824633722157|92
1030792152366|49
1030792152367|61
1030792152368|61
1168231105842|1
1099511629107|1
1168231105844|1
1099511629109|1
687194768694|65
687194768695|65
687194768696|65
687194768697|99
1099511629114|1
1168231105851|1
1099511629116|4
687194768701|65
1168231105854|1
1168231105855|1
1099511629120|1
1168231105857|1
687194768706|65
1099511629124|4
1099511629125|1
1168231105862|22
1099511629127|4
1168231105864|1
1168231105865|1
1168231105866|1
1168231105867|1
1168231105868|1
1099511629133|1
618475291982|65
1168231105871|65
1099511629136|4
618475291985|65
1168231105874|1
1099511629139|4
1099511629140|65
618475291990|1
824633722199|4
824633722201|0
824633722202|0
687194768732|60
687194768733|60
824633722206|0
687194768735|60
687194768736|60
687194768737|60
687194768738|60
687194768739|60
1168231105893|52
1168231105894|60
1168231105895|52
1168231105896|82
1168231105897|52
1168231105898|101
1168231105899|52
962072675692|49
1168231105901|49
962072675694|49
1168231105903|60
1168231105904|49
1168231105905|101
1168231105906|101
962072675700|56
962072675701|56
962072675702|65
962072675703|54
962072675704|65
962072675705|56
962072675706|61
1030792152443|48
962072675708|65
962072675709|0
1099511629182|101
1030792152447|54
1099511629184|0
962072675713|0
962072675714|1
1030792152452|25
962072675717|56
1099511629190|101
1099511629191|1
1030792152456|25
1099511629193|51
1099511629194|56
1099511629195|80
1099511629196|61
1099511629197|60
962072675726|1
1030792152463|25
962072675728|60
962072675729|54
962072675730|56
962072675732|0
1099511629205|1
1099511629206|61
1099511629207|0
1099511629208|1
962072675737|1
1099511629210|1
1099511629211|101
1099511629212|61
1099511629213|0
962072675742|56
1099511629215|101
962072675744|61
1099511629217|101
1099511629218|61
1099511629220|1
1099511629221|0
1099511629222|101
1099511629223|51
1099511629224|60
1030792152489|25
1030792152490|54
1030792152491|0
1099511629228|61
1099511629229|56
962072675758|80
1030792152495|56
1099511629232|0
1030792152497|25
1099511629234|0
962072675894|86
1030792152631|48
962072675896|101
1030792152633|53
1030792152634|25
1099511629371|61
1030792152636|86
1030792152637|25
1168231106111|97
1168231106112|61
962072675905|101
1168231106114|61
1168231106115|110
1168231106116|53
1168231106117|86
1168231106118|53
1030792152648|48
1099511629385|110
824633722442|60
1030792152651|48
1030792152652|60
1030792152653|53
1030792152654|86
1030792152655|78
755914246286|0
755914246287|0
755914246288|0
755914246289|0
755914246290|0
1030792153236|54
1030792153237|4
1030792153238|4
1030792153239|0
1030792153240|65
1030792153241|65
1168231106715|65
1168231106716|0
1168231106717|0
1168231106718|4
1168231106719|4
1168231106720|65
1030792153250|0
1030792153251|54
1030792153252|54
1030792153253|0
1030792153254|0
1030792153255|4
687194769576|0
1030792153257|54
1030792153258|54
1030792153259|0
1030792153260|0
1030792153261|0
1030792153262|65
1168231106736|61
1168231106737|101
1168231106738|71
1168231106739|92
1168231106740|1
1168231106741|54
1168231106742|54
1168231106743|110
1168231106744|65
1168231106745|49
1168231106746|92
1168231106747|53
1168231106748|0
1168231106749|50
1168231106750|57
1168231106751|53
1168231106752|53
1168231106753|0
1168231106755|0
1168231106756|51
1168231106757|48
1168231106758|60
1168231106759|53
1168231106760|80
1168231106761|81
1168231106762|89
1168231106763|59
1168231106766|1
1168231106767|53
1168231106768|71
1168231106769|50
1168231106771|25
1168231106772|97
1168231106773|51
1168231106774|48
1168231106775|0
1168231106776|56
1168231106777|65
1168231106778|80
1168231106779|57
1168231106780|0
1168231106781|100
1168231106782|1
1168231106784|92
1168231106785|1
1168231106786|89
1168231106787|0
1168231106788|56
1168231106789|78
1168231106790|71
1168231106792|50
1099511630057|80
1099511630058|105
1099511630059|60
1099511630060|1
1099511630061|0
1168231106798|24
1099511630063|60
1099511630064|1
1099511630065|1
1099511630066|53
1099511630067|54
1168231106804|51
1099511630069|1
1099511630071|110
1099511630072|1
1168231106809|51
1099511630075|56
1099511630076|1
1099511630077|65
1099511630078|92
1168231106816|105
1168231106817|56
1168231106818|60
1168231106819|100
1168231106820|1
1168231106821|92
1168231106822|1
1099511630088|53
1099511630089|1
1099511630090|0
1099511630091|89
1099511630092|25
1099511630093|56
1099511630094|65
1099511630095|105
1168231106832|1
1099511630097|110
1099511630098|53
1099511630099|56
1099511630100|65
1099511630101|105
1168231106839|0
1168231106840|105
1168231106841|54
1168231106842|89
1168231106843|51
1168231106844|56
1168231106845|97
1168231106846|1
1168231106847|110
1168231106848|0
1168231106849|56
1168231106850|110
1168231106852|50
1168231106853|50
1168231106854|57
1168231106855|59
1168231106856|56
1168231106857|1
1168231106858|53
1168231106859|57
1168231106860|0
1168231106861|1
1168231106862|92
1168231106863|60
1168231106864|60
1168231106865|56
1168231106866|65
1168231106867|48
1168231106868|53
1168231106869|80
1168231106871|56
1168231106873|59
1099511630139|49
1099511630140|100
1099511630141|53
1168231106878|1
1168231106879|97
1099511630144|1
1099511630145|48
1099511630146|92
1099511630147|54
1099511630148|25
1168231106885|1
1168231106886|101
893353199944|59
1030792153417|0
1168231106890|0
1168231106891|56
1030792153420|60
962072676685|57
893353199950|1
962072676687|91
1099511630160|56
1168231106897|0
1030792153426|25
1099511630163|47
1168231106902|97
962072676695|110
962072676696|92
962072676697|61
962072676698|60
1099511630171|0
962072676700|100
1168231106909|56
962072676702|57
962072676703|53
1168231106912|50
1168231106913|51
1168231106914|101
1030792153443|49
1168231106916|90
962072676709|89
1168231106918|92
1030792153448|49
1030792153449|52
1099511630186|1
962072676715|92
962072676716|1
962072676717|1
962072676718|100
1099511630191|48
962072676721|59
962072676722|92
1099511630195|0
1168231106932|56
1168231106933|1
1168231106934|56
1099511630199|56
1099511630200|0
1099511630201|53
1099511630202|61
1168231106939|50
1099511630204|54
1168231106941|56
962072676734|100
1099511630207|71
1099511630208|0
962072676738|100
962072676739|60
962072676740|59
962072676741|61
962072676742|80
962072676743|59
962072676744|1
962072676745|1
962072676746|1
1168231106956|50
1168231106957|51
1168231106958|0
1168231106959|1
1168231106960|1
1168231106961|1
1168231106962|57
962072676755|57
962072676756|0
1168231106965|1
1168231106966|1
962072676759|80
1168231106968|78
1168231106969|110
1168231106970|86
1168231106971|0
962072676764|53
1168231106973|78
1168231106974|53
962072676768|59
1030792153505|105
1099511630243|54
962072676772|53
1099511630245|48
1099511630246|86
962072676775|80
1099511630248|48
1030792153513|105
1030792153514|25
962072676780|60
962072676781|1
1168231106990|56
1168231106991|0
1168231106992|52
962072676785|57
1168231106994|0
1168231106995|71
1168231106996|1
1168231106997|50
962072676790|61
962072676792|65
1168231107001|1
1099511630266|56
1168231107003|89
1168231107004|1
962072676797|57
962072676799|57
962072676800|89
1168231107009|56
962072676802|92
962072676803|59
1099511630276|1
962072676805|53
1168231107014|1
1030792153543|60
1168231107016|90
1099511630282|1
1168231107019|51
962072676812|53
962072676813|1
962072676814|53
962072676815|89
962072676816|110
1099511630289|86
962072676818|92
1030792153555|25
1030792153557|52
1030792153558|78
1030792153559|60
1030792153560|52
1168231107034|97
1099511630299|0
1099511630300|57
1099511630301|92
1099511630302|56
1099511630303|101
1099511630304|57
1099511630305|57
1099511630306|1
1099511630308|53
1099511630309|101
1168231107046|97
1099511630311|49
1099511630312|92
1099511630313|101
824633723372|1
1099511630317|56
1168231107054|60
824633723375|49
1168231107056|60
1168231107057|1
824633723378|1
824633723379|92
1168231107060|56
1168231107061|53
1168231107062|40
1168231107063|1
1168231107064|53
1168231107065|101
1168231107066|54
1168231107067|97
1168231107068|1
1168231107069|1
1168231107071|78
1168231107072|57
1168231107073|0
1168231107075|101
1099511630340|1
1168231107077|101
893353200134|101
1099511630344|92
1099511630345|53
1099511630346|1
1099511630347|78
1099511630348|101
1099511630349|78
1168231107086|1
1099511630351|61
1099511630352|1
1099511630353|1
1099511630354|0
1099511630355|92
1099511630356|1
1099511630357|57
1099511630358|101
755914246680|101
755914246681|101
824633723418|49
1099511630364|56
1168231107101|97
1030792153630|1
1030792153631|92
1099511630368|56
1099511630370|57
1099511630371|56
1099511630372|1
1168231107109|97
1099511630374|49
1099511630375|101
1168231107113|54
1168231107115|53
1168231107116|56
1168231107117|25
1168231107118|51
1168231107119|110
1168231107120|50
1168231107121|53
1168231107122|105
1168231107123|81
1168231107125|50
1168231107126|101
1168231107127|80
1168231107128|90
1168231107129|80
1168231107130|4
1168231107131|105
1168231107132|54
1168231107133|25
1168231107134|1
1168231107135|1
1168231107136|52
1168231107137|1
1168231107138|0
1168231107139|57
1168231107141|48
1168231107142|26
1168231107143|97
1168231107144|80
1168231107145|51
1168231107146|49
1168231107147|78
1168231107148|50
1168231107149|80
1168231107150|97
1168231107151|0
1168231107152|92
1168231107153|56
1168231107154|56
1168231107155|51
1168231107156|1
1168231107157|49
1168231107159|92
1168231107160|57
1168231107161|1
1168231107162|90
1168231107163|0
1168231107164|52
1168231107165|52
1168231107166|101
1168231107167|4
1099511630433|100
1099511630434|80
1099511630435|53
1099511630436|101
1168231107173|1
1099511630438|1
1099511630439|110
1099511630441|0
1099511630442|92
1168231107179|1
1099511630444|1
1099511630445|100
1168231107182|0
1168231107183|56
1099511630448|101
1168231107185|1
1168231107186|60
1099511630451|89
1099511630452|11
1099511630453|86
1168231107190|50
1099511630455|48
1168231107192|80
1168231107194|59
1099511630459|48
1099511630460|100
1099511630461|61
1099511630462|92
1168231107199|1
1099511630464|92
1168231107201|1
1168231107202|1
1099511630467|100
1168231107204|19
1099511630469|79
1168231107206|1
1099511630471|0
1099511630472|1
1168231107209|78
1168231107210|56
1168231107211|56
1168231107212|53
1099511630477|0
1099511630479|86
1099511630481|92
1168231107218|56
1099511630483|90
1099511630484|78
1099511630485|48
1099511630486|54
1099511630487|57
1099511630489|92
1099511630490|53
1099511630491|53
1099511630492|60
1099511630493|49
1099511630495|48
1168231107233|50
1168231107234|1
1168231107235|90
1168231107236|0
1168231107237|54
1168231107238|53
1168231107239|59
1168231107240|50
1168231107241|59
1168231107242|101
1168231107243|0
1168231107244|60
1099511630510|54
1099511630511|0
1099511630512|65
1099511630513|65
1099511630514|65
1168231107251|1
1099511630516|60
1168231107253|105
1099511630518|1
1099511630519|92
1099511630520|1
1099511630521|1
1168231107258|56
1168231107260|59
1099511630525|78
1099511630526|1
1168231107263|50
1099511630528|92
1099511630529|0
1099511630530|53
1168231107267|0
1099511630533|56
1168231107270|56
1099511630535|109
1168231107272|1
1168231107274|25
1099511630539|53
1168231107276|51
1099511630541|4
1168231107278|25
1099511630543|80
1099511630545|61
1168231107282|71
1099511630547|86
1099511630548|1
1099511630549|52
1099511630551|52
1099511630552|53
1099511630553|65
1099511630554|52
1099511630555|101
1099511630556|0
1099511630557|53
1168231107294|0
1099511630559|50
1099511630560|61
1099511630561|60
1168231107298|0
1168231107299|71
1099511630564|92
824633724082|92
893353200819|4
962072677556|25
1168231107765|86
1168231107766|1
1168231107767|86
1168231107769|86
1030792154298|92
1030792154299|90
1030792154300|56
1168231107773|97
1030792154302|49
755914247360|101
618475293889|0
755914247362|105
755914247363|92
755914247364|53
755914247365|53
687194770631|78
824633724104|49
1168231107785|97
962072677578|90
824633724107|53
893353200844|4
824633724110|101
824633724111|49
824633724112|0
1099511631057|48
824633724114|53
824633724115|53
1168231107797|1
824633724118|49
824633724119|101
1168231107800|97
1168231107801|90
962072677594|90
1168231107804|1
1168231107805|48
1168231107806|48
1168231107807|101
1168231107808|1
1168231107809|53
962072677603|49
962072677604|49
1168231107813|1
962072677606|78
1030792154343|90
962072677608|61
481036340458|78
962072677611|56
755914247404|101
1168231107821|86
618475293934|0
962072677615|25
618475293937|0
1168231107826|97
481036340467|78
1168231107828|97
755914247413|101
755914247414|78
755914247416|105
962072677625|90
962072677626|90
962072677627|101
962072677628|82
549755817213|53
755914247423|105
549755817216|53
1168231107841|86
1168231107842|97
824633724163|61
1099511631108|48
1168231107845|1
549755817222|78
962072677639|25
1168231107848|0
755914247434|105
962072677643|37
755914247436|92
481036340493|78
962072677646|56
1168231107855|1
1168231107856|1
1099511631121|48
1099511631122|90
1168231107859|1
1030792154389|53
1168231107862|97
1030792154391|101
1030792154392|56
1168231107865|1
1030792154394|56
1030792154395|92
1030792154396|78
1099511631133|48
1030792154398|61
1168231107872|1
1099511631137|110
1168231107874|1
1168231107875|10
1168231107876|1
893353200933|4
962072677670|90
962072677671|60
1168231107880|1
755914247465|92
824633724203|49
755914247468|92
1168231107885|97
962072677678|90
824633724207|61
755914247472|101
618475294001|0
893353200946|4
549755817267|53
755914247476|105
618475294006|0
893353200951|4
1168231107896|12
962072677689|90
1030792154426|101
893353200955|78
549755817276|53
1099511631165|48
1168231107902|86
1168231107903|54
824633724225|49
618475294018|0
755914247491|101
962072677700|25
1099511631173|48
1099511631174|105
962072677703|25
1099511631176|61
962072677705|56
