:START_ID(Comment)|:END_ID(Comment)
962072674830|962072674828
1030792151567|962072674828
1030792151568|1030792151567
1168231105041|1030792151567
1030792151570|1030792151567
1030792151573|1030792151567
1030792151575|1030792151567
1030792151580|1030792151578
1099511628317|1030792151579
1030792151582|1030792151578
1030792151583|1030792151579
1030792151584|1030792151582
1030792151585|1030792151582
1168231105058|1030792151583
1030792151587|1030792151583
1030792151588|1030792151579
1168231105061|1030792151582
1030792151590|1030792151588
1099511628327|1030792151583
1099511629080|1099511629079
1099511629083|1099511629081
1099511629084|1099511629081
962072675617|962072675616
1099511629090|962072675617
1030792152359|1030792152357
1099511629097|1030792152357
1030792152362|1030792152357
1099511629100|1099511629097
1030792152366|1030792152357
1030792152367|824633722155
1030792152368|824633722155
687194768695|687194768694
687194768697|687194768694
1099511629114|687194768696
1168231105854|1099511629114
1168231105855|687194768701
1168231105857|687194768701
687194768706|687194768701
1168231105862|1099511629124
1099511629127|1099511629124
1168231105864|1099511629124
1168231105866|1168231105865
1168231105867|1168231105865
1168231105868|1168231105865
1168231105871|1168231105865
1099511629136|1099511629124
1168231105874|1099511629133
1099511629139|1099511629124
1099511629140|1099511629133
687194768733|687194768732
687194768737|687194768732
687194768738|687194768732
1168231105895|1168231105893
1168231105896|1168231105893
1168231105897|1168231105893
1168231105898|1168231105893
1168231105901|1168231105893
1168231105904|1168231105893
962072675704|962072675702
962072675705|962072675700
1030792152443|962072675703
962072675708|962072675700
962072675709|962072675703
1099511629182|962072675702
1030792152447|1030792152443
1099511629184|962072675700
962072675713|962072675700
1099511629193|1099511629191
1099511629194|1099511629191
1099511629195|1099511629191
1099511629196|1099511629191
1099511629197|1099511629191
962072675729|962072675728
962072675730|962072675728
1099511629206|1099511629205
1099511629207|1099511629205
1099511629208|1099511629205
1099511629210|1099511629205
1099511629212|1099511629211
1099511629213|962072675737
1099511629215|962072675737
962072675744|962072675737
1099511629218|1099511629211
1099511629223|1099511629221
1099511629224|1099511629220
1030792152490|1030792152489
1030792152491|1030792152489
1099511629228|1099511629220
1099511629229|1099511629220
1030792152495|1030792152489
1099511629232|1099511629220
1099511629234|1099511629220
1030792152634|1030792152633
1099511629371|1030792152634
1030792152636|1030792152631
1030792152637|1030792152631
1168231106112|1168231106111
1168231106114|1168231106111
1168231106115|1168231106114
1168231106116|1168231106111
1168231106117|1168231106114
1168231106118|1168231106116
1030792152652|1030792152651
1030792152654|1030792152651
1030792152655|1030792152651
1030792153241|1030792153238
1168231106717|1168231106715
1168231106720|1168231106719
1030792153251|1030792153250
1030792153252|1030792153251
1030792153253|1030792153250
1030792153254|1030792153251
1030792153255|1030792153252
1030792153257|1030792153252
1030792153258|1030792153251
1030792153259|1030792153251
1030792153260|1030792153250
1030792153261|1030792153251
1030792153262|1030792153261
1168231106738|1168231106737
1168231106741|1168231106737
1168231106743|1168231106742
1168231106744|1168231106742
1168231106745|1168231106741
1168231106746|1168231106745
1168231106747|1168231106741
1168231106750|1168231106749
1168231106751|1168231106749
1168231106752|1168231106737
1168231106753|1168231106742
1168231106758|1168231106757
1168231106761|1168231106757
1168231106762|1168231106761
1168231106763|1168231106762
1168231106769|1168231106768
1168231106773|1168231106771
1168231106774|1168231106771
1168231106775|1168231106771
1168231106777|1168231106771
1168231106778|1168231106771
1168231106780|1168231106777
1168231106781|1168231106778
1168231106782|1168231106771
1168231106790|1168231106786
1168231106798|1099511630057
1099511630063|1099511630060
1099511630064|1099511630060
1099511630065|1099511630060
1099511630066|1099511630060
1168231106804|1099511630060
1099511630069|1099511630060
1099511630072|1099511630071
1168231106809|1099511630071
1099511630076|1099511630075
1099511630077|1099511630075
1168231106818|1168231106817
1168231106819|1168231106816
1168231106820|1168231106816
1168231106821|1168231106817
1099511630091|1099511630088
1099511630093|1099511630089
1099511630095|1099511630089
1099511630098|1099511630088
1099511630100|1099511630088
1099511630101|1099511630088
1168231106841|1168231106840
1168231106844|1168231106840
1168231106845|1168231106844
1168231106847|1168231106844
1168231106848|1168231106844
1168231106849|1168231106840
