:START_ID(Comment)|:END_ID(Post)
962072674467|687194767522
1099511627940|687194767522
1030792151560|962072674823
1030792151561|962072674823
1168231105034|962072674823
962072674827|962072674823
962072674828|962072674823
1168231105037|962072674823
1030792151571|962072674823
962072674836|962072674823
962072674838|962072674823
1030792151577|1030792151576
1030792151578|1030792151576
1030792151579|1030792151576
1099511628328|1030792151576
1099511629079|1099511629078
1099511629081|1099511629078
1099511629082|1099511629078
962072675614|962072675613
962072675615|962072675613
962072675616|962072675613
962072675619|962072675613
1030792152357|687194768676
755914245414|687194768676
824633722152|687194768676
824633722155|687194768676
824633722157|687194768676
1168231105842|687194768689
1099511629107|687194768689
1168231105844|687194768689
1099511629109|687194768689
687194768694|687194768689
687194768696|687194768689
1168231105851|687194768689
1099511629116|687194768689
687194768701|687194768689
1099511629120|687194768689
1099511629124|343597385027
1099511629125|343597385027
1168231105865|343597385027
1099511629133|343597385027
618475291982|343597385027
618475291985|343597385027
618475291990|412316861781
824633722199|412316861781
824633722201|412316861784
824633722202|412316861784
687194768732|687194768731
824633722206|687194768731
687194768735|687194768731
687194768736|687194768731
687194768739|687194768731
1168231105893|893353198948
1168231105894|893353198948
1168231105899|893353198948
962072675692|893353198948
962072675694|893353198948
1168231105903|893353198948
1168231105905|893353198948
1168231105906|893353198948
962072675700|962072675699
962072675701|962072675699
962072675702|962072675699
962072675703|962072675699
962072675706|962072675699
962072675714|962072675699
1030792152452|962072675715
962072675717|962072675715
1099511629190|962072675715
1099511629191|962072675715
1030792152456|962072675715
962072675726|962072675715
1030792152463|962072675715
962072675728|962072675715
962072675732|962072675731
1099511629205|962072675731
962072675737|962072675731
1099511629211|962072675731
962072675742|962072675731
1099511629217|962072675731
1099511629220|962072675747
1099511629221|962072675747
1099511629222|962072675747
1030792152489|962072675747
962072675758|962072675747
1030792152497|962072675747
962072675894|687194768949
1030792152631|687194768949
962072675896|687194768949
1030792152633|687194768949
1168231106111|549755815486
962072675905|549755815486
1030792152648|549755815495
1099511629385|549755815495
824633722442|549755815495
1030792152651|549755815495
1030792152653|549755815495
755914246286|755914246285
755914246287|755914246285
755914246288|755914246285
755914246289|755914246285
755914246290|755914246285
1030792153236|1030792153235
1030792153237|1030792153235
1030792153238|1030792153235
1030792153239|1030792153235
1030792153240|1030792153235
1168231106715|1168231106714
1168231106716|1168231106714
1168231106718|1168231106714
1168231106719|1168231106714
1030792153250|687194769569
687194769576|687194769569
1168231106736|1168231106735
1168231106737|1168231106735
1168231106739|1168231106735
1168231106740|1168231106735
1168231106742|1168231106735
1168231106748|1168231106735
1168231106749|1168231106735
1168231106755|1168231106754
1168231106756|1168231106754
1168231106757|1168231106754
1168231106759|1168231106754
1168231106760|1168231106754
1168231106766|1168231106765
1168231106767|1168231106765
1168231106768|1168231106765
1168231106771|1168231106770
1168231106772|1168231106770
1168231106776|1168231106770
1168231106779|1168231106770
1168231106784|1168231106783
1168231106785|1168231106783
1168231106786|1168231106783
1168231106787|1168231106783
1168231106788|1168231106783
1168231106789|1168231106783
1168231106792|1099511630055
1099511630057|1099511630055
1099511630058|1099511630055
1099511630059|1099511630055
1099511630060|1099511630055
1099511630061|1099511630055
1099511630067|1099511630055
1099511630071|1099511630070
1099511630075|1099511630074
1099511630078|1099511630074
1168231106816|1168231106815
1168231106817|1168231106815
1168231106822|1168231106815
1099511630088|1099511630087
