:START_ID(Post)|:END_ID(Tag)
687194767522|804
687194767522|1524
687194767522|2019
687194767522|3030
687194767522|3037
962072674823|139
962072674823|1984
962072674823|3022
962072674823|5699
962072674823|6993
1030792151576|139
1030792151576|2845
1099511629078|461
962072675613|461
962072675613|1988
962072675613|2782
687194768676|4
687194768676|13768
687194768689|193
687194768689|1995
687194768689|2822
687194768689|6948
687194768689|9163
687194768689|11251
343597385027|193
343597385027|1195
343597385027|3077
343597385027|4940
412316861781|1748
412316861781|2973
412316861781|5106
412316861781|5159
412316861781|6433
412316861781|12295
412316861781|14098
412316861784|1748
412316861784|2950
687194768731|410
687194768731|2859
687194768731|5076
687194768731|7248
687194768731|7590
893353198948|244
893353198948|7620
962072675699|543
962072675699|1748
962072675699|2965
962072675699|9467
962072675699|11377
962072675699|11623
962072675715|976
962072675715|1375
962072675715|1748
962072675715|6406
962072675715|6443
962072675715|9146
962072675715|9433
962072675715|14063
962072675731|294
962072675731|1178
962072675731|1748
962072675731|2850
962072675731|5132
962072675731|5863
962072675731|7553
962072675731|9289
962072675731|9474
962072675747|1748
962072675747|2030
962072675747|8063
962072675747|9225
962072675747|11237
962072675747|11417
962072675747|11583
687194768949|1410
687194768949|1953
687194768949|9181
549755815486|518
549755815486|575
549755815486|1206
549755815486|2088
549755815486|4960
549755815486|7353
549755815495|518
549755815495|3037
549755815495|5662
549755815495|11644
755914246285|0
755914246285|3076
1030792153235|0
1030792153235|296
1030792153235|3013
1168231106714|0
1168231106714|2782
1168231106714|2962
1168231106714|3076
687194769569|1404
687194769569|1679
687194769569|3032
687194769569|6962
687194769569|7004
687194769569|7639
1168231106735|1747
1168231106754|1747
1168231106764|1747
1168231106765|1747
1168231106770|1747
1168231106783|1747
1099511630055|1747
1099511630070|1747
1099511630074|1747
1168231106815|1747
1099511630087|1747
1168231106838|1747
1168231106851|1747
1168231106870|1747
1168231106872|1747
1099511630138|1747
893353199943|1747
962072676692|1748
962072676692|2976
962072676692|6183
962072676692|6292
962072676692|10028
962072676692|12963
962072676692|15530
962072676693|1191
962072676693|1748
962072676693|8277
962072676693|11635
962072676693|11726
962072676711|1748
962072676711|6951
962072676711|9039
962072676720|1748
962072676720|2808
962072676720|5067
962072676720|9147
962072676720|10651
962072676720|11541
962072676737|810
962072676737|1153
962072676737|1748
962072676737|8600
962072676737|12030
962072676747|1183
962072676747|1748
962072676747|2881
962072676747|2888
962072676747|2982
962072676747|3005
962072676747|5066
962072676767|1748
962072676767|2071
962072676767|3111
962072676767|5065
962072676770|804
962072676770|1748
962072676770|11410
962072676770|13483
962072676779|1748
962072676779|2947
962072676779|4979
962072676779|6393
962072676779|9232
962072676779|10919
962072676791|1748
962072676791|7287
962072676791|8718
962072676791|8962
962072676791|9043
962072676791|11165
962072676791|11642
962072676791|13124
962072676798|975
962072676798|1748
962072676798|2024
962072676798|2866
962072676809|1748
962072676809|2027
962072676809|6797
962072676809|8705
962072676809|9177
962072676820|1748
962072676820|5674
962072676820|11378
962072676820|12345
962072676820|13425
1099511630297|777
1099511630307|777
824633723370|777
824633723371|777
1168231107070|777
893353200130|777
1099511630343|777
755914246679|777
1030792153627|777
1099511630369|777
1099511630376|777
1168231107114|1747
1168231107124|1747
1168231107140|1747
1168231107158|1747
1099511630432|1521
1099511630432|5094
1099511630432|5103
1099511630440|1023
1099511630440|1521
1099511630440|2815
1099511630440|2892
1099511630457|1521
1099511630457|1994
1099511630457|4986
1099511630457|8545
1099511630478|62
1099511630478|1521
1099511630478|1672
1099511630478|2958
1099511630478|5173
1099511630478|7547
1099511630478|7570
1099511630478|10022
1099511630478|12176
1099511630480|293
1099511630480|1521
1099511630480|2986
1099511630480|10193
1099511630488|1521
1099511630488|2048
1099511630488|5228
1099511630488|5292
1099511630494|1521
1099511630494|1940
1099511630494|5641
1099511630494|11661
1099511630494|15079
1099511630496|1521
1099511630496|6410
1099511630496|6996
1099511630496|11698
1099511630496|12035
1099511630509|1521
1099511630509|8562
1099511630509|9261
1099511630523|1521
1099511630523|2093
1099511630523|5077
1099511630523|7068
1099511630532|1521
1099511630532|2055
1099511630532|7519
1099511630532|11410
1099511630532|11530
1099511630537|545
1099511630537|1521
1099511630537|2935
1099511630537|6596
1099511630544|1521
1099511630544|2062
1099511630544|7033
1099511630544|7890
1099511630544|8866
1099511630550|1521
1099511630550|2937
1099511630550|2990
1099511630550|12031
1099511630550|13688
824633724081|458
824633724081|1670
824633724081|2794
824633724081|2953
1030792154296|458
1030792154296|2968
343597386943|458
687194770630|458
687194770630|5170
687194770630|10289
824633724109|458
824633724109|1985
824633724109|2969
412316863700|458
412316863700|2011
412316863700|2953
893353200859|458
893353200859|5115
962072677602|458
412316863721|458
412316863721|2969
206158433520|458
343597386999|458
343597386999|2968
343597386999|5115
549755817214|2423
549755817214|7565
549755817214|7572
549755817214|9760
549755817214|11996
412316863753|1206
412316863753|1748
412316863753|2040
412316863753|12901
1030792154388|1937
1030792154388|3029
549755817247|2423
549755817247|2804
549755817247|2953
549755817247|7521
412316863786|1748
412316863786|2779
412316863786|6679
412316863786|9265
549755817269|565
549755817269|2423
549755817269|5021
549755817269|11674
549755817269|12014
549755817269|12539
549755817269|14605
549755817280|2423
549755817280|8464
549755817280|9008
893353201296|458
893353201296|2790
549755817759|1410
549755817760|1410
549755817760|1671
687194771233|1410
687194771233|2791
687194771233|6458
687194771239|1410
687194771239|6945
687194771245|1410
687194771245|6302
824633725035|283
755914248311|283
755914248311|3043
687194771587|283
755914248335|283
755914248335|2822
755914248347|282
755914248347|1969
755914248347|3111
755914248347|5594
755914248347|6375
755914248347|7575
755914248347|9335
755914248347|12082
1099511632432|410
1168231109178|410
1168231109190|410
1168231109210|410
1168231109229|410
1168231109238|410
1168231109251|410
1168231109266|410
1168231109526|1186
1168231109526|4759
1168231109526|9634
1030792156174|470
412316865561|470
412316865561|4849
412316865561|9144
824633725988|286
824633725988|1403
824633725988|1934
824633725988|2858
824633725988|12143
